% Changes to WEKA Format: SRG - November 1994
%	1. Boolean attributes changed from 1 and 0 to Enumerated attribute with
%          values {true and false}
%       2. Class Number (Attribute 18) changed to an Enumerated type with
%	   values {1,2,3,4,5,6,7} 
%
% December 1997 - Changed class attribute values to semi-sensible names
%
% 1. Title: Zoo database
% 
% 2. Source Information
%    -- Creator: Richard Forsyth
%    -- Donor: Richard S. Forsyth 
%              8 Grosvenor Avenue
%              Mapperley Park
%              Nottingham NG3 5DX
%              0602-621676
%    -- Date: 5/15/1990
%  
% 3. Past Usage:
%    -- None known other than what is shown in Forsyth's PC/BEAGLE User's Guide.
% 
% 4. Relevant Information:
%    -- A simple database containing 17 Boolean-valued attributes.  The "type"
%       attribute appears to be the class attribute.  Here is a breakdown of
%       which animals are in which type: (I find it unusual that there are
%       2 instances of "frog" and one of "girl"!)
% 
%       Class# Set of animals:
%       ====== ===============================================================
%            1 (41) aardvark, antelope, bear, boar, buffalo, calf,
%                   cavy, cheetah, deer, dolphin, elephant,
%                   fruitbat, giraffe, girl, goat, gorilla, hamster,
%                   hare, leopard, lion, lynx, mink, mole, mongoose,
%                   opossum, oryx, platypus, polecat, pony,
%                   porpoise, puma, pussycat, raccoon, reindeer,
%                   seal, sealion, squirrel, vampire, vole, wallaby,wolf
%            2 (20) chicken, crow, dove, duck, flamingo, gull, hawk,
%                   kiwi, lark, ostrich, parakeet, penguin, pheasant,
%                   rhea, skimmer, skua, sparrow, swan, vulture, wren
%            3 (5)  pitviper, seasnake, slowworm, tortoise, tuatara 
%            4 (13) bass, carp, catfish, chub, dogfish, haddock,
%                   herring, pike, piranha, seahorse, sole, stingray, tuna
%            5 (4)  frog, frog, newt, toad 
%            6 (8)  flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp
%            7 (10) clam, crab, crayfish, lobster, octopus,
%                   scorpion, seawasp, slug, starfish, worm
% 
% 5. Number of Instances: 101
% 6. Number of Attributes: 18 (animal name, 15 Boolean attributes, 2 numerics)
% 7. Attribute Information: (name of attribute and type of value domain)
%    1. animal name:	Unique for each instance
%    2. hair		Boolean
%    3. feathers	Boolean
%    4. eggs		Boolean
%    5. milk		Boolean
%    6. airborne	Boolean
%    7. aquatic		Boolean
%    8. predator	Boolean
%    9. toothed		Boolean
%   10. backbone	Boolean
%   11. breathes	Boolean
%   12. venomous	Boolean
%   13. fins		Boolean
%   14. legs		Numeric (set of values: {0,2,4,5,6,8})
%   15. tail		Boolean
%   16. domestic	Boolean
%   17. catsize		Boolean
%   18. type		Numeric (integer values in range [1,7])
% 
% 8. Missing Attribute Values: None
% 9. Class Distribution: Given above
   
@RELATION zoo

@ATTRIBUTE animal {aardvark,abelha,adder,aguia-cinzenta,alligator,anchovy,anta,antelope,antlion,aphid,aracari-banana,arara-azul,arara-caninde,ariranha,baiacu,barracuda,bass,bear,beetle,bicho-pau,boa,boar,boto-cor-de-rosa,buffalo,bugio,butterfly,cachorro-vinagre,calf,caracol-da-mata-atlantica,caranguejeira,carp,cascudinho-de-caverna,catfish,cavy,chameleon,chaua,cheetah,chicken,chimpanze,chub,cicada,clam,cobra-cipo,cockroach,crab,crayfish,cricket,crocodile,crow,dart-frog,deer,dogfish,dolphin,dove,dragonfly,duck,elephant,ema,firebelly,flamingo,flea,flounder,frog1,frog2,fruitbat,gato-maracaja,gaviao-pombo,gecko,gharial,giraffe,girl,gnat,goat,gorilla,guara,gull,haddock,halibut,hamster,hare,harpia,hawk,herring,honeybee,hornet,housefly,iguana,jabuti,jacare-coroa,jacurutu,jacutinga,jaguatirica,jandaia-amarela,jararaca-ilhoa,jellyfish,jiboia,joaninha,kiwi,ladybird,lambari,lark,leopard,lion,lizard,lobo-guara,lobster,lynx,macaco-aranha,macaco-barrigudo,mackerel,macuco,mantis,mariposa,marlin,matrinxa,mico-leao-dourado,mink,mole,mongoose,mono-carvoeiro,mosquito,moth,murucututu,mutum,newt,octopus,onca-pintada,opossum,orangotango,oryx,ostrich,palmetto,papagaio-de-cara-roxa,parakeet,pato-de-crista,pavo,peixe-boi,penguin,perereca-de-alcatrazes,pheasant,pike,piranha,pirarucu,pirilampo,pitviper,platypus,polecat,pony,porpoise,puma,pussycat,python,queixada,ra-flecha-azul,ra-pimenta,raccoon,raia-chita,reindeer,rhea,salamander,sapo-barriga-de-fogo,sapo-cururu,sapo-de-chifre,sauva-limao,scallop,scorpion,seahorse,seal,sealion,seasnake,seawasp,silkworm,siren,skimmer,skink,skua,slowworm,slug,snail,sole,sparrow,spider,squid,squirrel,starfish,stingray,sucuri,swan,tamandua-bandeira,tambaqui,termite,toad,tortoise,tracaja,tree-frog,trout,tuatara,tubarao-raposa,tucano-de-bico-preto,tuna,turtle,urso-de-oculos,urubu-rei,urutu-cruzeiro,vampire,vespa,vole,vulture,wallaby,wart-toad,wasp,wolf,worm,wren}
@ATTRIBUTE hair {false, true}
@ATTRIBUTE feathers {false, true}
@ATTRIBUTE eggs {false, true}
@ATTRIBUTE milk {false, true}
@ATTRIBUTE airborne {false, true}
@ATTRIBUTE aquatic {false, true}
@ATTRIBUTE predator {false, true}
@ATTRIBUTE toothed {false, true}
@ATTRIBUTE backbone {false, true}
@ATTRIBUTE breathes {false, true}
@ATTRIBUTE venomous {false, true}
@ATTRIBUTE fins {false, true}
@ATTRIBUTE legs INTEGER [0,9]
@ATTRIBUTE tail {false, true}
@ATTRIBUTE domestic {false, true}
@ATTRIBUTE catsize {false, true}
@ATTRIBUTE type { mammal, bird, reptile, fish, amphibian, insect, invertebrate }

@DATA
vespa,false,false,true,false,true,false,true,false,false,true,true,false,6,false,false,false,insect
vole,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,false,mammal
vulture,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,true,bird
wallaby,true,false,false,true,false,false,false,true,true,true,false,false,2,true,false,true,mammal
wart-toad,false,false,true,false,false,true,false,true,true,true,false,false,4,false,false,false,amphibian
wasp,true,false,true,false,true,false,false,false,false,true,true,false,6,false,false,false,insect
wolf,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,mammal
worm,false,false,true,false,false,false,false,false,false,true,false,false,0,false,false,false,invertebrate
wren,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,bird
%
%
%
